Price,Name,Brand,Size,Packaging,Female,Male,Homo,Perufme,EdP,EdT,EdC,Floral,Fruity,Food,Amber,Woody,Leather,Aquatic,Green,Other,Fresh/Energetic,Warm,Classic,Sweet,Individual,Limitation,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Gucci Flora Gorgeous Gardenia Eau de Toilette For Her,Gucci,1.6,0.35,1,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Gucci Guilty Women,Gucci,1,0.5,1,,,,,1,,1,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Bamboo,Gucci,1,0.5,1,,,,1,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Bamboo,Gucci,1.6,0.5,1,,,,1,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Gucci,Gucci,1.6,0.4,,1,,,,1,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Gucci,Gucci,3,0.4,,1,,,,1,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Gucci Guilty Black,Gucci,1.6,0.55,1,,,,,1,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Gucci Guilty Black,Gucci,2.5,0.55,1,,,,,1,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Eternity Women,CK,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Eternity Women,CK,3.4,0.25,1,,,,1,,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,euphoura,CK,1.7,0.55,1,,,,1,,,1,1,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,euphoura,CK,5.5,0.55,1,,,,1,,,1,1,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Euphoria Men,CK,1.7,0.3,,1,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Euphoria Men,CK,3.3,0.3,,1,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Obsession,CK,3.4,0.2,1,,,,1,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,CK Be,CK,3.4,0.15,,,1,,,1,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,CK Be,CK,6.7,0.15,,,1,,,1,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,CK One,CK,1.7,0.1,,,1,,,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,CK One,CK,6.7,0.1,,,1,,,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Eternity Aqua,CK,1,0.15,,1,,,,1,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Eternity Aqua,CK,3.4,0.15,,1,,,,1,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Calvin Klain Beauty,CK,3.4,0.5,1,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Truth,CK,1.7,0.3,1,,,,1,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Euphoria Forbidden,CK,3.4,0.35,1,,,,1,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,J'Adore,Dior,1,0.55,1,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,J'Adore,Dior,3.4,0.55,1,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,J'Adore,Dior,5,0.55,1,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,J'Adore EdT,Dior,1.7,0.55,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,J'Adore EdT,Dior,3.4,0.55,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,J'Adore Extrait de parfum,Dior,0.5,0.6,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,MISS DIOR BLOOMING BOUQUET,Dior,5,0.45,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
