Price,Name,Brand,History,Size,Packaging,Limitation,Female,Male,Neutral,Parfume,EdP,EdT,EdC,Floral,Fruity,Food,Amber,Woody,Leather,Aquatic,Green,Other,Fresh/Energetic,Warm,Classic,Sweet,Individual,Support
24,Paul Sebastian,PaulSebastian,12,1,0.1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
29,Mon Paris ,YvesSaintLaurent,53,0.33,0.7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
38,Green Tea,ElizabethArden,119,1.7,0.2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
42,Provocative,ElizabethArden,119,1.7,0.3,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
45,Untold Absolu,ElizabethArden,119,1.7,0.5,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
48,Happy Cologue,Clinique,51,1.7,0.2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
50,CK Be,CK,51,3.4,0.15,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
52,Provocative,ElizabethArden,119,3.3,0.3,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
53,Paul Sebastian,PaulSebastian,12,4,0.1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
55,Design,PaulSebastian,12,3.4,0.25,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
58,Aromatics Black,Clinique,51,1.7,0.35,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
58,Very Sexy Platinum For Him Cologne,VICTORIASSECRET,49,1.7,0.4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
59,A*Men,ThierryMugler,45,1.7,0.25,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
60,Arden Beauty,ElizabethArden,119,3.3,0.5,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
60,Bright Crystal,Versace,41,1,0.2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
