Price,Name,Brand,Size,Packaging,Limitation,Female,Male,Homo,Perufme,EdP,EdT,EdC,Floral,Fruity,Food,Amber,Woody,Leather,Aquatic,Green,Other,Fresh/Energetic,Warm,Classic,Sweet,Individual,Support
20,Viva La Juicy Glace,Juicy Couture,0.17,0.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
29,DOLCE&GABBANA Light Blue,Dolce & Gabbana,0.25,0.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
29,Mon Paris ,Yves Saint Laurent,0.33,0.7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
38,Green Tea,Elizabeth Arden,1.7,0.2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
39,Parisienne,Yves Saint Laurent,1,0.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,CK One,CK,1.7,0.1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
45,Coach Poppy Citrine Blossom,Coach,1,0.35,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,Happy Heart,Clinique,1.7,0.1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
49,Fancy,Jessica Mcclintock,1.7,0.5,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
50,Coach for Men,Coach,1.3,0.55,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
52,Pretty,Elizabeth Arden,1.7,0.3,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
53,Paul Sebastian,Paul Sebastian,4,0.1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
54,Aromatics Elixir,Clinique,0.85,0.3,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
57,Versace Man Eau Fraiche,Versace,1.7,0.3,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
58,Bombshell Eau de Parfum,VICTORIA'S SECRET,1.7,0.25,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
58,Aromatics Black,Clinique,1.7,0.35,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
59,A*Men,Thierry Mugler,1.7,0.25,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
60,Versace Bright Crystal Absolu,Versace,1,0.35,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
60,I Am Juicy Couture,Juicy Couture,1.7,0.5,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
60,Morden Jess,Jessica Mcclintock,3.4,0.35,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,Gucci Guilty Women,Gucci,1,0.5,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
64,My Burberry Eau de Toilette,Burberry,1,0.4,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
65,Gucci,Gucci,1.6,0.4,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
65,Sinner Eau de Parfum,Kat Von D,1.7,0.5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
68,Euphoria Men,CK,1.7,0.3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
69,Versace Eros,Versace,1.7,0.35,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
69,Red Door,Elizabeth Arden,3.3,0.35,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
70,Versace Dylan Blue EdP,Versace,1,0.55,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
70,Omnia Coral Candy,BVLGARI,1.3,0.7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
70,Men's Luna Rossa Carbon,Prada,1.7,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
71,Fifth Avenue,Elizabeth Arden,2.5,0.55,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
72,Bamboo,Gucci,1,0.5,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
72,Juicy Couture Hollywood Royal,Juicy Couture,2.5,0.8,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
72,Men's L'Homme,Yves Saint Laurent,2,0.5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
73,Obsession,CK,1.6,0.2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
74,Black Opium,Yves Saint Laurent,1,0.7,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
75,Gucci Guilty Black,Gucci,1.6,0.55,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
75,Miss Dior,Dior,1,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Dancing,Jessica Mcclintock,3.4,0.3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
76,Aromatics Elixir,Clinique,1.5,0.3,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
