Price,Name,Brand,History,Size,Packaging,Limitation,Female,Male,Neutral,Parfume,EdP,EdT,EdC,Floral,Fruity,Food,Amber,Woody,Leather,Aquatic,Green,Other,Fresh/Energetic,Warm,Classic,Sweet,Individual,Support
29,DOLCE&GABBANA Light Blue,DolceGabbana,34,0.25,0.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3
35,Eternity Aqua,CK,51,1,0.15,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3
39,Splendor,ElizabethArden,119,2.5,0.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
44,CK One,CK,51,1.7,0.1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3
45,Versace Yellow Diamond,Versace,41,1,0.3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3
49,Sunflowers,ElizabethArden,119,3.3,0.1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3
50,Always Red Femme,ElizabethArden,119,1.7,0.37,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3
52,Dancing,JessicaMcclintock,50,1.7,0.3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3
54,Aromatics Elixir,Clinique,51,0.85,0.3,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3
57,Number 3,JessicaMcclintock,50,3.4,0.35,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
58,Versace Signature,Versace,41,1.7,0.45,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3
58,Very Sexy Platinum For Him Cologne,VICTORIASSECRET,49,1.7,0.4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3
60,Coach EdT,Coach,78,1.7,0.55,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,3
60,I Am Juicy Couture,JuicyCouture,24,1.7,0.5,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,3
62,CHANCE EAU TENDRE Eau de Toilette,Chanel,119,1.2,0.3,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3
64,My Burberry Eau de Toilette,Burberry,163,1,0.4,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3
65,Flora By Gucci - Gorgeous Gardenia,Gucci,108,1,0.35,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3
67,Jessica Simpson Signature,JessicaMcclintock,50,3.4,0.5,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,3
69,Red Door,ElizabethArden,119,3.3,0.35,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3
70,Omnia Coral Candy,BVLGARI,135,1.3,0.7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3
70,Wood Sage & Sea Salt Cologne,JoMalone,25,1,0.1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3
70,Men's Luna Rossa Sport ,Prada,116,1.7,0.5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
71,Splendor,ElizabethArden,119,4.2,0.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
72,Juicy Couture Malibu ,JuicyCouture,24,2.5,0.6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3
72,Black Opium Intense,YvesSaintLaurent,53,1,0.7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
73,Eternity Women,CK,51,3.4,0.25,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,3
75,CK One,CK,51,6.7,0.1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3
75,J'Adore,Dior,73,1,0.55,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
76,Aromatics Elixir,Clinique,51,1.5,0.3,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3
77,SAUVAGE,Dior,73,2,0.35,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
78,euphoura,CK,51,1.7,0.55,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,3
78,Bright Crystal,Versace,41,1.7,0.2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
