Price,Name,Brand,History,Size,Packaging,Limitation,Female,Male,Homo,Perufme,EdP,EdT,EdC,Floral,Fruity,Food,Amber,Woody,Leather,Aquatic,Green,Other,Fresh/Energetic,Warm,Classic,Sweet,Individual,Support
78,Very Sexy Platinum For Him Cologne,VICTORIA'S SECRET,49,3.4,0.4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
78,Very Sexy Platinum For Him Cologne,VICTORIA'S SECRET,49,3.4,0.4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
79,Eternity Women,CK,51,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,Her Blossom Eau de Toilette,Burberry,163,1.7,0.15,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
80,COCO MADEMOISELLE Eau de Parfum,Chanel,119,1.2,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
80,MISS DIOR BLOOMING BOUQUET,Dior,73,1.7,0.45,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,Exceptional Because You Are Men,Exceptional Parfums,11,3.4,0.1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
80,I Am Juicy Couture,Juicy Couture,24,3.4,0.5,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
80,L'Homme Prada Men's,Prada,116,1.7,0.6,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
82,Decadence Eau So Decadent,Marc Jacobs,35,1.7,0.7,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1
82,Versace Man Eau Fraiche,Versace,41,3.4,0.3,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
84,Burberry Brit Rhythm,Burberry,163,3.3,0.3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
85,Coach Poppy  ,Coach,78,3.4,0.35,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
85,Simply Belle,Exceptional Parfums,11,3.4,0.25,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
86,Omnia Amethyste Candy,BVLGARI,135,2.2,0.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
86,Light Blue Eau Intense,Dolce & Gabbana,34,1.6,0.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
86,Daisy Love Eau de Toilette,Marc Jacobs,35,1.7,0.6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
88,La Femme Prada L'Eau,Prada,116,1.7,0.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
88,Versace Dylan Blue,Versace,41,3.4,0.5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
89,A*Men,Thierry Mugler,45,3.4,0.25,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
90,Men's Luna Rossa Carbon,Prada,116,3.4,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
92,My Burberry Blush,Burberry,163,1,0.4,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
92,Juicy Couture Hollywood Royal,Juicy Couture,24,5,0.65,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
