Price,Name,Brand,Size,Packaging,Limitation,Female,Male,Homo,Perufme,EdP,EdT,EdC,Floral,Fruity,Food,Amber,Woody,Leather,Aquatic,Green,Other,Fresh/Energetic,Warm,Classic,Sweet,Individual,Support
59,Fancy,Jessica Mcclintock,3.4,0.5,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
60,MISS DIOR BLOOMING BOUQUET,Dior,1,0.45,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,Coach EdP,Coach,1,0.55,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,CK One,CK,3.3,0.1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
62,HYPNOTIC POISON,Dior,1,0.35,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
65,Versace Dylan Blue,Versace,1,0.5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
65,Pretty,Elizabeth Arden,3.3,0.3,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
65,Parisienne,Yves Saint Laurent,1.6,0.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
68,Happy Cologue,Clinique,3.4,0.2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
69,Versace Yellow Diamond,Versace,1.7,0.3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
70,Wood Sage & Sea Salt Cologne,JoMalone,1,0.1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
70,Alien,Thierry Mugler,1,0.5,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
70,Omnia Amethyste Candy,BVLGARI,1.3,0.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
70,Men's Luna Rossa,Prada,1.7,0.5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
71,Splendor,Elizabeth Arden,4.2,0.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
72,CK Be,CK,6.7,0.15,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
72,Black Opium Intense,Yves Saint Laurent,1,0.7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
72,Men's Amber Pour Homme,Prada,1.7,0.4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
73,Truth,CK,3.4,0.3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
75,BLEU DE CHANEL Eau de Toilette,Chanel,1.7,0.2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
75,CK One,CK,6.7,0.1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
75,DIOR HOMME EAU FOR MEN,Dior,1.7,0.35,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
76,Paul Sebastian,Paul Sebastian,8,0.1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
76,Dolce Garden,Dolce & Gabbana,1,0.7,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
77,Yves Saint Laurent Y,Yves Saint Laurent,2,0.6,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
78,euphoura,CK,1.7,0.55,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1
78,Very Sexy Platinum For Him Cologne,VICTORIA'S SECRET,3.4,0.4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
78,Very Sexy Platinum For Him Cologne,VICTORIA'S SECRET,3.4,0.4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
79,Eternity Women,CK,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,COCO MADEMOISELLE Eau de Parfum,Chanel,1.2,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
