Price,Name,Brand,History,Size,Packaging,Limitation,Female,Male,Neutral,Parfume,EdP,EdT,EdC,Floral,Fruity,Food,Amber,Woody,Leather,Aquatic,Green,Other,Fresh/Energetic,Warm,Classic,Sweet,Individual,Support
20,Viva La Juicy Glace,JuicyCouture,24,0.17,0.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
29,The One,DolceGabbana,34,0.2,0.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
38,Happy,Clinique,51,1,0.1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
39,Parisienne,YvesSaintLaurent,53,1,0.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,Coach Poppy Citrine Blossom,Coach,78,1,0.35,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,Happy Heart,Clinique,51,1.7,0.1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
49,Fancy,JessicaMcclintock,50,1.7,0.5,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
52,Pretty,ElizabethArden,119,1.7,0.3,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
52,Juicy Couture Malibu ,JuicyCouture,24,1.3,0.6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
54,Versace Signature,Versace,41,1,0.45,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
57,Versace Man Eau Fraiche,Versace,41,1.7,0.3,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
58,Bombshell Eau de Parfum,VICTORIASSECRET,49,1.7,0.25,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
59,Fancy,JessicaMcclintock,50,3.4,0.5,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
60,MISS DIOR BLOOMING BOUQUET,Dior,73,1,0.45,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Versace Bright Crystal Absolu,Versace,41,1,0.35,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
62,HYPNOTIC POISON,Dior,73,1,0.35,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
65,Coach for Men,Coach,78,2,0.55,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
65,Sinner Eau de Parfum,KatVonD,11,1.7,0.5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
68,Euphoria Men,CK,51,1.7,0.3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
69,Always Red Femme,ElizabethArden,119,3.3,0.37,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
70,Omnia Amethyste Candy,BVLGARI,135,1.3,0.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
70,Black Cedarwood & Juniper Cologne,JoMalone,25,1,0.1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
70,Alien,ThierryMugler,45,1,0.5,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
72,CK Be,CK,51,6.7,0.15,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
72,Men's Amber Pour Homme,Prada,116,1.7,0.4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
72,Men's La Nuit de L'homme,YvesSaintLaurent,53,2,0.5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
74,My Burberry Black Parfum,Burberry,163,1,0.4,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
75,Coach EdT,Coach,78,3.4,0.55,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
75,Gucci Guilty Black,Gucci,108,1.6,0.55,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
76,Dolce Garden,DolceGabbana,34,1,0.7,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
77,Paris Eau de Toilette,YvesSaintLaurent,53,2.5,0.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,Aromatics Black,Clinique,51,3.4,0.35,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
78,Bombshell Eau de Parfum,VICTORIASSECRET,49,3.4,0.25,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
78,Libre,YvesSaintLaurent,53,1,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,Her Blossom Eau de Toilette,Burberry,163,1.7,0.15,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80,HYPNOTIC POISON,Dior,73,1.7,0.35,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
80,DOLCE&GABBANA Light Blue,DolceGabbana,34,1.6,0.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
80,Flora By Gucci - Gorgeous Gardenia,Gucci,108,1.7,0.35,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
80,L'Homme Prada Men's,Prada,116,1.7,0.6,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
82,Decadence Eau So Decadent,MarcJacobs,35,1.7,0.7,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
84,Burberry Brit Rhythm,Burberry,163,3.3,0.3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
85,Coach Poppy  ,Coach,78,3.4,0.35,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
86,Omnia Coral Candy,BVLGARI,135,2.2,0.7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
86,Euphoria Men,CK,51,3.3,0.3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
86,Daisy Eau de Toilette Spray,MarcJacobs,35,1.7,0.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,Versace Eros,Versace,41,3.4,0.35,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
89,A*Men,ThierryMugler,45,3.4,0.25,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
90,Men's Luna Rossa,Prada,116,3.4,0.5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
92,Juicy Couture Hollywood Royal,JuicyCouture,24,5,0.65,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
92,Men's La Nuit de L'homme,YvesSaintLaurent,53,3.3,0.5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
94,The Only One,DolceGabbana,34,1.6,0.6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
94,Candy,Prada,116,1.7,0.6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
95,Goldea The Roman Night Absolute,BVLGARI,135,1.7,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
95,SAUVAGE EdP,Dior,73,2,0.35,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
95,Gucci Guilty Black,Gucci,108,2.5,0.55,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
95,Yves Saint Laurent Y,YvesSaintLaurent,53,3.3,0.6,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
97,Mon Paris ,YvesSaintLaurent,53,1.6,0.7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
98,Eau des Sens Eau de Toilette,Diptqyue,58,1.7,0.2,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
98,Men's Luna Rossa Black,Prada,116,3.4,0.5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
99,My Burberry Black Parfum,Burberry,163,1.7,0.4,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
99,Viva La Juicy,JuicyCouture,24,3.4,0.7,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
100,Coach EdP,Coach,78,3,0.55,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,MISS DIOR ABSOLUTELY BLOOMING,Dior,73,1.7,0.5,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Candy Florale,Prada,116,2.7,0.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102,HYPNOTIC POISON,Dior,73,3.4,0.35,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
102,DOLCE&GABBANA Light Blue,DolceGabbana,34,3.3,0.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
105,COCO MADEMOISELLE Eau de Parfum,Chanel,119,1.7,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,Daisy Eau de Toilette Spray,MarcJacobs,35,3.4,0.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,Gucci,Gucci,108,3,0.4,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
110,Light Blue Eau Intense,DolceGabbana,34,3.3,0.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
114,Rose Goldea Blossom Delight,BVLGARI,135,2.5,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
118,Angel,ThierryMugler,45,1.7,0.3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
120,The Only One,DolceGabbana,34,3.3,0.6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
