Price,Name,Brand,Size,Packaging,Limitation,Female,Male,Homo,Perufme,EdP,EdT,EdC,Floral,Fruity,Food,Amber,Woody,Leather,Aquatic,Green,Other,Fresh/Energetic,Warm,Classic,Sweet,Individual,Support
28,Candy,Prada,0.34,0.3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
29,The One,Dolce & Gabbana,0.2,0.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
38,Provocative Interlude,Elizabeth Arden,1.7,0.35,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2
39,Splendor,Elizabeth Arden,2.5,0.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
42,Provocative,Elizabeth Arden,1.7,0.3,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
45,Untold Absolu,Elizabeth Arden,1.7,0.5,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
48,Happy Cologue,Clinique,1.7,0.2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
49,Sunflowers,Elizabeth Arden,3.3,0.1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
50,Always Red Femme,Elizabeth Arden,1.7,0.37,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2
52,Green Tea,Elizabeth Arden,3.3,0.2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
52,Dancing,Jessica Mcclintock,1.7,0.3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2
54,Eternity Aqua,CK,1.7,0.15,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2
56,Truth,CK,1.7,0.3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2
58,Versace Signature,Versace,1.7,0.45,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
58,Happy,Clinique,1.7,0.1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
58,Very Sexy Platinum For Him Cologne,VICTORIA'S SECRET,1.7,0.4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
60,Bright Crystal,Versace,1,0.2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
60,Arden Beauty,Elizabeth Arden,3.3,0.5,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2
60,Coach EdT,Coach,1.7,0.55,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2
62,CHANCE EAU TENDRE Eau de Toilette,Chanel,1.2,0.3,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
63,Her Blossom Eau de Toilette,Burberry,1,0.15,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
65,Flora By Gucci - Gorgeous Gardenia,Gucci,1,0.35,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
65,Coach for Men,Coach,2,0.55,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
67,Jessica Simpson Signature,Jessica Mcclintock,3.4,0.5,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,2
68,Jessica Mcclintock,Jessica Mcclintock,3.4,0.35,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
69,Always Red Femme,Elizabeth Arden,3.3,0.37,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2
70,Black Cedarwood & Juniper Cologne,JoMalone,1,0.1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2
